Unnamed: 0,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
1316,70+2,70+2,70+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,75+2,74+2,74+2,74+2,75+2,75+2,72+2,72+2,72+2,75+2
1317,69+2,69+2,69+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,63+2,59+2,59+2,59+2,63+2,59+2,50+2,50+2,50+2,59+2
1318,52+2,52+2,52+2,47+2,49+2,49+2,49+2,47+2,48+2,48+2,48+2,48+2,53+2,53+2,53+2,48+2,62+2,66+2,66+2,66+2,62+2,66+2,75+2,75+2,75+2,66+2
1319,69+2,69+2,69+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,71+2,72+2,72+2,72+2,71+2,70+2,67+2,67+2,67+2,70+2
1320,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,71+2,71+2,71+2,71+2,74+2,74+2,74+2,71+2,75+2,77+2,77+2,77+2,75+2,76+2,76+2,76+2,76+2,76+2
1321,56+2,56+2,56+2,60+2,57+2,57+2,57+2,60+2,57+2,57+2,57+2,63+2,60+2,60+2,60+2,63+2,74+2,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,74+2
1322,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,75+2,75+2,75+2,71+2,69+2,69+2,69+2,71+2,56+2,57+2,57+2,57+2,56+2,55+2,54+2,54+2,54+2,55+2
1323,55+2,55+2,55+2,52+2,55+2,55+2,55+2,52+2,56+2,56+2,56+2,57+2,63+2,63+2,63+2,57+2,67+2,72+2,72+2,72+2,67+2,68+2,75+2,75+2,75+2,68+2
1324,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,73+2,73+2,73+2,75+2,57+2,57+2,57+2,57+2,57+2,52+2,48+2,48+2,48+2,52+2
1325,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2,74+2,71+2,71+2,71+2,74+2
1326,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,72+2,72+2,72+2,71+2,74+2,74+2,74+2,71+2,73+2,75+2,75+2,75+2,73+2,72+2,74+2,74+2,74+2,72+2
1327,75+2,75+2,75+2,71+2,74+2,74+2,74+2,71+2,72+2,72+2,72+2,69+2,65+2,65+2,65+2,69+2,49+2,49+2,49+2,49+2,49+2,47+2,43+2,43+2,43+2,47+2
1328,58+2,58+2,58+2,54+2,56+2,56+2,56+2,54+2,55+2,55+2,55+2,55+2,58+2,58+2,58+2,55+2,64+2,67+2,67+2,67+2,64+2,65+2,74+2,74+2,74+2,65+2
1329,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,59+2,57+2,57+2,57+2,59+2,56+2,52+2,52+2,52+2,56+2
1330,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,66+2,69+2,69+2,69+2,66+2,69+2,75+2,75+2,75+2,69+2
1331,74+2,74+2,74+2,70+2,72+2,72+2,72+2,70+2,68+2,68+2,68+2,68+2,60+2,60+2,60+2,68+2,49+2,48+2,48+2,48+2,49+2,46+2,46+2,46+2,46+2,46+2
1332,69+2,69+2,69+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,75+2,74+2,74+2,74+2,75+2,75+2,72+2,72+2,72+2,75+2
1333,75+3,75+3,75+3,65+3,71+3,71+3,71+3,65+3,69+3,69+3,69+3,63+3,64+3,64+3,64+3,63+3,44+3,51+3,51+3,51+3,44+3,42+3,49+3,49+3,49+3,42+3
1334,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,62+2,65+2,65+2,65+2,62+2,71+2,73+2,73+2,73+2,71+2,72+2,75+2,75+2,75+2,72+2
1335,72+2,72+2,72+2,76+2,74+2,74+2,74+2,76+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,60+2,57+2,57+2,57+2,60+2,57+2,50+2,50+2,50+2,57+2
1336,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,59+2,59+2,59+2,59+2,59+2,56+2,52+2,52+2,52+2,56+2
1337,62+2,62+2,62+2,61+2,62+2,62+2,62+2,61+2,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,70+2,71+2,71+2,71+2,70+2,71+2,75+2,75+2,75+2,71+2
1338,57+2,57+2,57+2,52+2,53+2,53+2,53+2,52+2,53+2,53+2,53+2,56+2,60+2,60+2,60+2,56+2,67+2,70+2,70+2,70+2,67+2,69+2,75+2,75+2,75+2,69+2
1339,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,71+2,71+2,71+2,75+2,68+2,64+2,64+2,64+2,68+2,66+2,60+2,60+2,60+2,66+2
1340,69+2,69+2,69+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,74+2,65+2,62+2,62+2,62+2,65+2,62+2,53+2,53+2,53+2,62+2
1341,62+2,62+2,62+2,63+2,65+2,65+2,65+2,63+2,67+2,67+2,67+2,65+2,71+2,71+2,71+2,65+2,70+2,75+2,75+2,75+2,70+2,70+2,75+2,75+2,75+2,70+2
1342,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,69+2,69+2,69+2,75+2,60+2,59+2,59+2,59+2,60+2,57+2,54+2,54+2,54+2,57+2
1343,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,74+2,64+2,64+2,64+2,74+2,54+2,48+2,48+2,48+2,54+2,49+2,38+2,38+2,38+2,49+2
1344,58+2,58+2,58+2,52+2,55+2,55+2,55+2,52+2,54+2,54+2,54+2,53+2,59+2,59+2,59+2,53+2,63+2,68+2,68+2,68+2,63+2,66+2,74+2,74+2,74+2,66+2
1345,75+2,75+2,75+2,70+2,71+2,71+2,71+2,70+2,68+2,68+2,68+2,68+2,60+2,60+2,60+2,68+2,52+2,49+2,49+2,49+2,52+2,50+2,47+2,47+2,47+2,50+2
1346,68+2,68+2,68+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,75+2,72+2,72+2,72+2,75+2,68+2,66+2,66+2,66+2,68+2,65+2,59+2,59+2,59+2,65+2
1347,74+2,74+2,74+2,73+2,74+2,74+2,74+2,73+2,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,54+2,51+2,51+2,51+2,54+2,51+2,46+2,46+2,46+2,51+2
1348,73+3,73+3,73+3,72+3,73+3,73+3,73+3,72+3,73+3,73+3,73+3,72+3,74+3,74+3,74+3,72+3,69+3,71+3,71+3,71+3,69+3,67+3,68+3,68+3,68+3,67+3
1349,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1350,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1351,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,76+2,73+2,73+2,73+2,76+2,75+2,72+2,72+2,72+2,75+2
1352,70+3,70+3,70+3,75+3,74+3,74+3,74+3,75+3,75+3,75+3,75+3,75+3,69+3,69+3,69+3,75+3,57+3,54+3,54+3,54+3,57+3,52+3,43+3,43+3,43+3,52+3
1353,69+2,69+2,69+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,74+2,63+2,63+2,63+2,63+2,63+2,60+2,54+2,54+2,54+2,60+2
1354,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1355,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,61+2,58+2,58+2,58+2,61+2,58+2,53+2,53+2,53+2,58+2
1356,58+2,58+2,58+2,53+2,55+2,55+2,55+2,53+2,54+2,54+2,54+2,53+2,57+2,57+2,57+2,53+2,64+2,68+2,68+2,68+2,64+2,66+2,75+2,75+2,75+2,66+2
1357,74+3,74+3,74+3,68+3,72+3,72+3,72+3,68+3,70+3,70+3,70+3,68+3,68+3,68+3,68+3,68+3,56+3,60+3,60+3,60+3,56+3,54+3,58+3,58+3,58+3,54+3
1358,74+2,74+2,74+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,77+2,75+2,75+2,75+2,77+2,76+2,74+2,74+2,74+2,76+2,74+2,71+2,71+2,71+2,74+2
1359,51+2,51+2,51+2,47+2,49+2,49+2,49+2,47+2,52+2,52+2,52+2,51+2,60+2,60+2,60+2,51+2,63+2,71+2,71+2,71+2,63+2,66+2,74+2,74+2,74+2,66+2
1360,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1361,69+2,69+2,69+2,67+2,68+2,68+2,68+2,67+2,68+2,68+2,68+2,67+2,70+2,70+2,70+2,67+2,69+2,74+2,74+2,74+2,69+2,70+2,77+2,77+2,77+2,70+2
1362,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,70+2,70+2,70+2,69+2,60+2,60+2,60+2,69+2,49+2,45+2,45+2,45+2,49+2,46+2,43+2,43+2,43+2,46+2
1363,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,70+2,70+2,70+2,70+2,63+2,63+2,63+2,70+2,52+2,49+2,49+2,49+2,52+2,49+2,45+2,45+2,45+2,49+2
1364,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1365,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,73+2,74+2,74+2,74+2,73+2,72+2,70+2,70+2,70+2,72+2
1366,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,74+2,67+2,67+2,67+2,74+2,60+2,56+2,56+2,56+2,60+2,56+2,48+2,48+2,48+2,56+2
1367,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,65+2,65+2,65+2,65+2,70+2,70+2,70+2,65+2,71+2,74+2,74+2,74+2,71+2,71+2,75+2,75+2,75+2,71+2
1368,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,75+2,77+2,77+2,77+2,75+2,74+2,75+2,75+2,75+2,74+2,73+2,71+2,71+2,71+2,73+2
1369,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,72+2,74+2,74+2,74+2,72+2,72+2,74+2,74+2,74+2,72+2
1370,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,74+2,72+2,72+2,72+2,74+2,74+2,72+2,72+2,72+2,74+2
1371,50+2,50+2,50+2,51+2,49+2,49+2,49+2,51+2,50+2,50+2,50+2,54+2,57+2,57+2,57+2,54+2,68+2,70+2,70+2,70+2,68+2,70+2,74+2,74+2,74+2,70+2
1372,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,75+2,68+2,68+2,68+2,75+2,60+2,56+2,56+2,56+2,60+2,57+2,51+2,51+2,51+2,57+2
1373,74+3,74+3,74+3,68+3,71+3,71+3,71+3,68+3,69+3,69+3,69+3,67+3,63+3,63+3,63+3,67+3,51+3,52+3,52+3,52+3,51+3,49+3,50+3,50+3,50+3,49+3
1374,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1375,74+2,74+2,74+2,71+2,72+2,72+2,72+2,71+2,70+2,70+2,70+2,70+2,64+2,64+2,64+2,70+2,53+2,52+2,52+2,52+2,53+2,50+2,49+2,49+2,49+2,50+2
1376,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,62+2,65+2,65+2,65+2,62+2,70+2,72+2,72+2,72+2,70+2,71+2,75+2,75+2,75+2,71+2
1377,49+2,49+2,49+2,43+2,45+2,45+2,45+2,43+2,46+2,46+2,46+2,46+2,55+2,55+2,55+2,46+2,60+2,68+2,68+2,68+2,60+2,62+2,75+2,75+2,75+2,62+2
1378,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,68+2,68+2,68+2,74+2,61+2,58+2,58+2,58+2,61+2,58+2,51+2,51+2,51+2,58+2
1379,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,70+2,70+2,70+2,74+2,58+2,56+2,56+2,56+2,58+2,54+2,47+2,47+2,47+2,54+2
1380,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,75+2,75+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2
1381,67+2,67+2,67+2,70+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,72+2,70+2,70+2,70+2,72+2,75+2,72+2,72+2,72+2,75+2,74+2,71+2,71+2,71+2,74+2
1382,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2
1383,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1384,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,74+2,74+2,74+2,73+2,76+2,76+2,76+2,73+2,68+2,71+2,71+2,71+2,68+2,66+2,64+2,64+2,64+2,66+2
1385,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,72+2,72+2,72+2,75+2,66+2,64+2,64+2,64+2,66+2,63+2,57+2,57+2,57+2,63+2
1386,74+2,74+2,74+2,71+2,72+2,72+2,72+2,71+2,68+2,68+2,68+2,69+2,58+2,58+2,58+2,69+2,50+2,43+2,43+2,43+2,50+2,47+2,40+2,40+2,40+2,47+2
1387,76+2,76+2,76+2,75+2,77+2,77+2,77+2,75+2,76+2,76+2,76+2,74+2,69+2,69+2,69+2,74+2,55+2,54+2,54+2,54+2,55+2,52+2,49+2,49+2,49+2,52+2
1388,63+2,63+2,63+2,54+2,58+2,58+2,58+2,54+2,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,64+2,69+2,69+2,69+2,64+2,66+2,75+2,75+2,75+2,66+2
1389,61+2,61+2,61+2,60+2,58+2,58+2,58+2,60+2,58+2,58+2,58+2,61+2,60+2,60+2,60+2,61+2,70+2,69+2,69+2,69+2,70+2,71+2,74+2,74+2,74+2,71+2
1390,53+2,53+2,53+2,48+2,51+2,51+2,51+2,48+2,50+2,50+2,50+2,50+2,56+2,56+2,56+2,50+2,64+2,69+2,69+2,69+2,64+2,66+2,74+2,74+2,74+2,66+2
1391,75+2,75+2,75+2,73+2,74+2,74+2,74+2,73+2,74+2,74+2,74+2,73+2,70+2,70+2,70+2,73+2,60+2,60+2,60+2,60+2,60+2,58+2,57+2,57+2,57+2,58+2
1392,53+2,53+2,53+2,56+2,56+2,56+2,56+2,56+2,60+2,60+2,60+2,59+2,66+2,66+2,66+2,59+2,70+2,75+2,75+2,75+2,70+2,71+2,77+2,77+2,77+2,71+2
1393,75+2,75+2,75+2,74+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,60+2,60+2,60+2,61+2,59+2,56+2,56+2,56+2,59+2
1394,67+2,67+2,67+2,67+2,69+2,69+2,69+2,67+2,70+2,70+2,70+2,69+2,72+2,72+2,72+2,69+2,71+2,75+2,75+2,75+2,71+2,71+2,75+2,75+2,75+2,71+2
1395,49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,48+2,48+2,48+2,49+2,56+2,56+2,56+2,49+2,63+2,70+2,70+2,70+2,63+2,66+2,74+2,74+2,74+2,66+2
1396,54+2,54+2,54+2,52+2,52+2,52+2,52+2,52+2,53+2,53+2,53+2,55+2,59+2,59+2,59+2,55+2,66+2,71+2,71+2,71+2,66+2,68+2,74+2,74+2,74+2,68+2
1397,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,74+2,70+2,70+2,70+2,74+2,59+2,58+2,58+2,58+2,59+2,57+2,53+2,53+2,53+2,57+2
1398,50+2,50+2,50+2,46+2,47+2,47+2,47+2,46+2,49+2,49+2,49+2,48+2,55+2,55+2,55+2,48+2,63+2,68+2,68+2,68+2,63+2,66+2,74+2,74+2,74+2,66+2
1399,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,66+2,67+2,67+2,67+2,66+2,74+2,75+2,75+2,75+2,74+2,74+2,76+2,76+2,76+2,74+2
1400,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,63+2,62+2,62+2,62+2,63+2,60+2,56+2,56+2,56+2,60+2
1401,66+2,66+2,66+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,72+2,69+2,69+2,69+2,72+2,75+2,70+2,70+2,70+2,75+2,74+2,68+2,68+2,68+2,74+2
1402,58+2,58+2,58+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,57+2,59+2,59+2,59+2,57+2,67+2,69+2,69+2,69+2,67+2,68+2,75+2,75+2,75+2,68+2
1403,75+2,75+2,75+2,71+2,73+2,73+2,73+2,71+2,70+2,70+2,70+2,69+2,61+2,61+2,61+2,69+2,50+2,48+2,48+2,48+2,50+2,48+2,47+2,47+2,47+2,48+2
1404,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,73+2,67+2,67+2,67+2,73+2,61+2,56+2,56+2,56+2,61+2,59+2,52+2,52+2,52+2,59+2
1405,68+2,68+2,68+2,73+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,72+2,72+2,72+2,73+2,63+2,62+2,62+2,62+2,63+2,60+2,52+2,52+2,52+2,60+2
1406,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,65+2,65+2,65+2,70+2,67+2,67+2,67+2,70+2,74+2,71+2,71+2,71+2,74+2,74+2,73+2,73+2,73+2,74+2
1407,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,72+2,72+2,72+2,73+2,66+2,66+2,66+2,66+2,66+2,64+2,61+2,61+2,61+2,64+2
1408,74+2,74+2,74+2,70+2,73+2,73+2,73+2,70+2,71+2,71+2,71+2,70+2,65+2,65+2,65+2,70+2,52+2,53+2,53+2,53+2,52+2,49+2,50+2,50+2,50+2,49+2
1409,74+2,74+2,74+2,68+2,70+2,70+2,70+2,68+2,67+2,67+2,67+2,65+2,58+2,58+2,58+2,65+2,50+2,48+2,48+2,48+2,50+2,47+2,47+2,47+2,47+2,47+2
1410,58+2,58+2,58+2,58+2,58+2,58+2,58+2,58+2,59+2,59+2,59+2,62+2,64+2,64+2,64+2,62+2,69+2,72+2,72+2,72+2,69+2,70+2,74+2,74+2,74+2,70+2
1411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1412,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,76+2,76+2,76+2,76+2,76+2,74+2,72+2,72+2,72+2,74+2
1413,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,66+2,66+2,66+2,74+2,55+2,52+2,52+2,52+2,55+2,52+2,46+2,46+2,46+2,52+2
1414,68+2,68+2,68+2,72+2,70+2,70+2,70+2,72+2,70+2,70+2,70+2,73+2,70+2,70+2,70+2,73+2,75+2,71+2,71+2,71+2,75+2,74+2,71+2,71+2,71+2,74+2
1415,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,75+2,68+2,68+2,68+2,75+2,62+2,60+2,60+2,60+2,62+2,60+2,56+2,56+2,56+2,60+2
1416,72+2,72+2,72+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,76+2,69+2,69+2,69+2,76+2,56+2,53+2,53+2,53+2,56+2,51+2,43+2,43+2,43+2,51+2
1417,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,72+2,72+2,72+2,71+2,74+2,74+2,74+2,71+2,71+2,74+2,74+2,74+2,71+2,70+2,71+2,71+2,71+2,70+2
1418,74+2,74+2,74+2,64+2,70+2,70+2,70+2,64+2,67+2,67+2,67+2,63+2,64+2,64+2,64+2,63+2,51+2,55+2,55+2,55+2,51+2,49+2,54+2,54+2,54+2,49+2
1419,72+2,72+2,72+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,76+2,75+2,73+2,73+2,73+2,75+2,73+2,69+2,69+2,69+2,73+2
1420,75+2,75+2,75+2,69+2,72+2,72+2,72+2,69+2,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,52+2,54+2,54+2,54+2,52+2,50+2,52+2,52+2,52+2,50+2
1421,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2
1422,74+2,74+2,74+2,72+2,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,55+2,55+2,55+2,55+2,55+2,52+2,49+2,49+2,49+2,52+2
1423,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,76+2,76+2,76+2,75+2,71+2,71+2,71+2,75+2,59+2,59+2,59+2,59+2,59+2,55+2,50+2,50+2,50+2,55+2
1424,48+2,48+2,48+2,49+2,50+2,50+2,50+2,49+2,52+2,52+2,52+2,53+2,58+2,58+2,58+2,53+2,65+2,70+2,70+2,70+2,65+2,67+2,74+2,74+2,74+2,67+2
1425,48+2,48+2,48+2,47+2,49+2,49+2,49+2,47+2,52+2,52+2,52+2,51+2,60+2,60+2,60+2,51+2,64+2,70+2,70+2,70+2,64+2,65+2,74+2,74+2,74+2,65+2
1426,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1427,51+2,51+2,51+2,49+2,51+2,51+2,51+2,49+2,53+2,53+2,53+2,53+2,60+2,60+2,60+2,53+2,65+2,71+2,71+2,71+2,65+2,67+2,75+2,75+2,75+2,67+2
1428,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,71+2,71+2,71+2,74+2,70+2,70+2,70+2,74+2,76+2,71+2,71+2,71+2,76+2,75+2,69+2,69+2,69+2,75+2
1429,55+2,55+2,55+2,52+2,54+2,54+2,54+2,52+2,55+2,55+2,55+2,54+2,60+2,60+2,60+2,54+2,65+2,70+2,70+2,70+2,65+2,67+2,75+2,75+2,75+2,67+2
1430,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,69+2,71+2,71+2,71+2,69+2,74+2,75+2,75+2,75+2,74+2,73+2,73+2,73+2,73+2,73+2
1431,49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,46+2,46+2,46+2,49+2,54+2,54+2,54+2,49+2,65+2,68+2,68+2,68+2,65+2,68+2,74+2,74+2,74+2,68+2
1432,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1433,57+2,57+2,57+2,53+2,54+2,54+2,54+2,53+2,55+2,55+2,55+2,54+2,59+2,59+2,59+2,54+2,64+2,69+2,69+2,69+2,64+2,67+2,75+2,75+2,75+2,67+2
1434,74+2,74+2,74+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,75+2,68+2,68+2,68+2,75+2,61+2,58+2,58+2,58+2,61+2,59+2,55+2,55+2,55+2,59+2
1435,59+2,59+2,59+2,69+2,66+2,66+2,66+2,69+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,76+2,74+2,74+2,74+2,76+2,74+2,70+2,70+2,70+2,74+2
1436,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2
1437,50+2,50+2,50+2,47+2,49+2,49+2,49+2,47+2,51+2,51+2,51+2,50+2,58+2,58+2,58+2,50+2,63+2,70+2,70+2,70+2,63+2,65+2,74+2,74+2,74+2,65+2
1438,71+2,71+2,71+2,75+2,75+2,75+2,75+2,75+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,76+2,68+2,67+2,67+2,67+2,68+2,65+2,59+2,59+2,59+2,65+2
1439,74+2,74+2,74+2,66+2,70+2,70+2,70+2,66+2,66+2,66+2,66+2,64+2,60+2,60+2,60+2,64+2,50+2,51+2,51+2,51+2,50+2,49+2,51+2,51+2,51+2,49+2
1440,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,57+2,55+2,55+2,55+2,57+2,53+2,50+2,50+2,50+2,53+2
1441,65+2,65+2,65+2,73+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,70+2,70+2,70+2,73+2,75+2,71+2,71+2,71+2,75+2,74+2,70+2,70+2,70+2,74+2
1442,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,71+2,71+2,71+2,69+2,74+2,74+2,74+2,69+2,69+2,74+2,74+2,74+2,69+2,68+2,70+2,70+2,70+2,68+2
1443,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,65+2,63+2,63+2,63+2,65+2,62+2,57+2,57+2,57+2,62+2
1444,65+2,65+2,65+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,75+2,72+2,72+2,72+2,75+2,75+2,71+2,71+2,71+2,75+2
1445,71+2,71+2,71+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,74+2,75+2,75+2,75+2,74+2,73+2,74+2,74+2,74+2,73+2,73+2,72+2,72+2,72+2,73+2
1446,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,71+2,75+2,75+2,75+2,71+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2
1447,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,69+2,68+2,68+2,68+2,69+2,75+2,73+2,73+2,73+2,75+2,75+2,73+2,73+2,73+2,75+2
1448,74+2,74+2,74+2,72+2,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,54+2,56+2,56+2,56+2,54+2,51+2,51+2,51+2,51+2,51+2
1449,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,59+2,59+2,59+2,61+2,58+2,52+2,52+2,52+2,58+2
